,userID_lr,message_lr,message_type_lr,meta_data_lr
0,Unknown Country,"{'Message': {'PositionReport': {'Cog': 270, 'CommunicationState': 59916, 'Latitude': 37.138040000000004, 'Longitude': 126.38633333333334, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': -4, 'RepeatIndicator': 0, 'Sog': 14.5, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 35, 'TrueHeading': 270, 'UserID': 538004759, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 538004759, 'MMSI_String': 538004759, 'ShipName': 'VALIANT ACE         ', 'latitude': 37.138040000000004, 'longitude': 126.38633333333334, 'time_utc': '2024-09-27 05:13:49.825926169 +0000 UTC'}}",PositionReport,"{'MMSI': 538004759, 'MMSI_String': 538004759, 'ShipName': 'VALIANT ACE         ', 'latitude': 37.138040000000004, 'longitude': 126.38633333333334, 'time_utc': '2024-09-27 05:13:49.825926169 +0000 UTC'}"
1,South Korea,"{'Message': {'PositionReport': {'Cog': 191.2, 'CommunicationState': 59916, 'Latitude': 37.36981166666667, 'Longitude': 126.57858833333333, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': False, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0.5, 'Spare': 6, 'SpecialManoeuvreIndicator': 3, 'Timestamp': 49, 'TrueHeading': 239, 'UserID': 440083090, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 440083090, 'MMSI_String': 440083090, 'ShipName': 'SUNGJU SAN', 'latitude': 37.36981166666667, 'longitude': 126.57858833333333, 'time_utc': '2024-09-27 05:13:50.410072058 +0000 UTC'}}",PositionReport,"{'MMSI': 440083090, 'MMSI_String': 440083090, 'ShipName': 'SUNGJU SAN', 'latitude': 37.36981166666667, 'longitude': 126.57858833333333, 'time_utc': '2024-09-27 05:13:50.410072058 +0000 UTC'}"
2,South Korea,"{'Message': {'ShipStaticData': {'AisVersion': 0, 'CallSign': 'D7RA   ', 'Destination': 'KR TSN              ', 'Dimension': {'A': 101, 'B': 27, 'C': 10, 'D': 10}, 'Dte': False, 'Eta': {'Day': 26, 'Hour': 19, 'Minute': 0, 'Month': 9}, 'FixType': 1, 'ImoNumber': 9381366, 'MaximumStaticDraught': 5.6, 'MessageID': 5, 'Name': 'KTS BROWN           ', 'RepeatIndicator': 0, 'Spare': False, 'Type': 82, 'UserID': 440842000, 'Valid': True}}, 'MessageType': 'ShipStaticData', 'MetaData': {'MMSI': 440842000, 'MMSI_String': 440842000, 'ShipName': 'KTS BROWN           ', 'latitude': 37.04958666666666, 'longitude': 126.39760833333334, 'time_utc': '2024-09-27 05:13:50.819855803 +0000 UTC'}}",ShipStaticData,"{'MMSI': 440842000, 'MMSI_String': 440842000, 'ShipName': 'KTS BROWN           ', 'latitude': 37.04958666666666, 'longitude': 126.39760833333334, 'time_utc': '2024-09-27 05:13:50.819855803 +0000 UTC'}"
3,Unknown Country,"{'Message': {'PositionReport': {'Cog': 33, 'CommunicationState': 59916, 'Latitude': 37.306115, 'Longitude': 126.44108333333334, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 11.9, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 47, 'TrueHeading': 33, 'UserID': 352001491, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 352001491, 'MMSI_String': 352001491, 'ShipName': 'KS ADONIS', 'latitude': 37.306115, 'longitude': 126.44108333333334, 'time_utc': '2024-09-27 05:13:50.863793895 +0000 UTC'}}",PositionReport,"{'MMSI': 352001491, 'MMSI_String': 352001491, 'ShipName': 'KS ADONIS', 'latitude': 37.306115, 'longitude': 126.44108333333334, 'time_utc': '2024-09-27 05:13:50.863793895 +0000 UTC'}"
4,Unknown Country,"{'Message': {'PositionReport': {'Cog': 226.7, 'CommunicationState': 59916, 'Latitude': 37.32566333333333, 'Longitude': 126.42513000000001, 'MessageID': 3, 'NavigationalStatus': 1, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 60, 'TrueHeading': 325, 'UserID': 312134000, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 312134000, 'MMSI_String': 312134000, 'ShipName': 'BEI JIANG', 'latitude': 37.32566333333333, 'longitude': 126.42513000000001, 'time_utc': '2024-09-27 05:13:51.611009321 +0000 UTC'}}",PositionReport,"{'MMSI': 312134000, 'MMSI_String': 312134000, 'ShipName': 'BEI JIANG', 'latitude': 37.32566333333333, 'longitude': 126.42513000000001, 'time_utc': '2024-09-27 05:13:51.611009321 +0000 UTC'}"
5,South Korea,"{'Message': {'PositionReport': {'Cog': 213.7, 'CommunicationState': 59916, 'Latitude': 37.323695, 'Longitude': 126.29587, 'MessageID': 1, 'NavigationalStatus': 7, 'PositionAccuracy': True, 'Raim': True, 'RateOfTurn': -128, 'RepeatIndicator': 0, 'Sog': 0.3, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 51, 'TrueHeading': 511, 'UserID': 440096470, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 440096470, 'MMSI_String': 440096470, 'ShipName': 'WOORIBADAHO         ', 'latitude': 37.323695, 'longitude': 126.29587, 'time_utc': '2024-09-27 05:13:52.224716431 +0000 UTC'}}",PositionReport,"{'MMSI': 440096470, 'MMSI_String': 440096470, 'ShipName': 'WOORIBADAHO         ', 'latitude': 37.323695, 'longitude': 126.29587, 'time_utc': '2024-09-27 05:13:52.224716431 +0000 UTC'}"
6,South Korea,"{'Message': {'PositionReport': {'Cog': 89.9, 'CommunicationState': 59916, 'Latitude': 37.341458333333335, 'Longitude': 126.63225666666668, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': True, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0.3, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 52, 'TrueHeading': 355, 'UserID': 440004570, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 440004570, 'MMSI_String': 440004570, 'ShipName': 'NO2 DAE CHEONG      ', 'latitude': 37.341458333333335, 'longitude': 126.63225666666668, 'time_utc': '2024-09-27 05:13:53.714911373 +0000 UTC'}}",PositionReport,"{'MMSI': 440004570, 'MMSI_String': 440004570, 'ShipName': 'NO2 DAE CHEONG      ', 'latitude': 37.341458333333335, 'longitude': 126.63225666666668, 'time_utc': '2024-09-27 05:13:53.714911373 +0000 UTC'}"
7,South Korea,"{'Message': {'PositionReport': {'Cog': 0, 'CommunicationState': 59916, 'Latitude': 37.01473333333333, 'Longitude': 126.41008333333333, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 56, 'TrueHeading': 203, 'UserID': 440705290, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 440705290, 'MMSI_String': 440705290, 'ShipName': 'KWANGYANG AMBITION  ', 'latitude': 37.01473333333333, 'longitude': 126.41008333333333, 'time_utc': '2024-09-27 05:13:56.601047902 +0000 UTC'}}",PositionReport,"{'MMSI': 440705290, 'MMSI_String': 440705290, 'ShipName': 'KWANGYANG AMBITION  ', 'latitude': 37.01473333333333, 'longitude': 126.41008333333333, 'time_utc': '2024-09-27 05:13:56.601047902 +0000 UTC'}"
8,Unknown Country,"{'Message': {'PositionReport': {'Cog': 175.7, 'CommunicationState': 59916, 'Latitude': 37.341768333333334, 'Longitude': 126.630075, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0.1, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 60, 'TrueHeading': 90, 'UserID': 414690000, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 414690000, 'MMSI_String': 414690000, 'ShipName': 'BEI HAI', 'latitude': 37.341768333333334, 'longitude': 126.630075, 'time_utc': '2024-09-27 05:13:57.978484992 +0000 UTC'}}",PositionReport,"{'MMSI': 414690000, 'MMSI_String': 414690000, 'ShipName': 'BEI HAI', 'latitude': 37.341768333333334, 'longitude': 126.630075, 'time_utc': '2024-09-27 05:13:57.978484992 +0000 UTC'}"
9,South Korea,"{'Message': {'PositionReport': {'Cog': 13.2, 'CommunicationState': 59916, 'Latitude': 37.178916666666666, 'Longitude': 126.24713333333334, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': True, 'RateOfTurn': -128, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 55, 'TrueHeading': 13, 'UserID': 440031670, 'Valid': True}}, 'MessageType': 'PositionReport', 'MetaData': {'MMSI': 440031670, 'MMSI_String': 440031670, 'ShipName': 'DAEBU GOSOK FERRY   ', 'latitude': 37.178916666666666, 'longitude': 126.24713333333334, 'time_utc': '2024-09-27 05:13:58.477228437 +0000 UTC'}}",PositionReport,"{'MMSI': 440031670, 'MMSI_String': 440031670, 'ShipName': 'DAEBU GOSOK FERRY   ', 'latitude': 37.178916666666666, 'longitude': 126.24713333333334, 'time_utc': '2024-09-27 05:13:58.477228437 +0000 UTC'}"
